date,T8,T9,T10,T11,source_file
2025-08-15 19:45:15.698,26.543,26.603,26.756,26.633,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:16.698,26.539,26.6,26.752,26.629,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:17.699,26.535,26.596,26.749,26.625,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:18.699,26.532,26.593,26.746,26.621,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:19.700,26.529,26.59,26.742,26.619,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:20.700,26.526,26.587,26.741,26.616,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:21.701,26.524,26.585,26.737,26.613,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:22.701,26.52,26.582,26.734,26.61,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:23.701,26.517,26.578,26.732,26.606,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:24.702,26.514,26.576,26.729,26.603,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:25.702,26.51,26.572,26.725,26.601,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:26.703,26.507,26.569,26.722,26.597,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:27.703,26.505,26.566,26.718,26.593,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:28.704,26.501,26.563,26.714,26.589,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:29.704,26.498,26.561,26.71,26.587,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:30.705,26.493,26.557,26.707,26.583,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:31.705,26.49,26.553,26.704,26.58,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:32.706,26.487,26.55,26.701,26.578,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:33.706,26.483,26.547,26.698,26.574,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:34.707,26.481,26.544,26.694,26.57,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:35.707,26.478,26.54,26.69,26.566,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:36.707,26.473,26.537,26.686,26.563,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:37.708,26.469,26.534,26.682,26.56,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:38.708,26.467,26.531,26.678,26.556,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:39.709,26.463,26.528,26.674,26.552,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:40.709,26.459,26.525,26.671,26.55,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:41.710,26.456,26.521,26.667,26.546,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:42.710,26.453,26.519,26.663,26.543,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:43.710,26.449,26.515,26.659,26.54,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:44.711,26.445,26.511,26.654,26.536,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:45.711,26.441,26.507,26.652,26.532,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:46.712,26.437,26.503,26.648,26.528,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:47.712,26.435,26.5,26.644,26.524,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:48.713,26.431,26.497,26.64,26.521,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:49.713,26.428,26.495,26.636,26.517,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:50.714,26.425,26.492,26.633,26.514,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:51.715,26.422,26.488,26.63,26.509,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:52.715,26.42,26.485,26.626,26.505,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:53.716,26.417,26.482,26.622,26.503,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:54.716,26.413,26.479,26.619,26.5,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:55.716,26.409,26.477,26.614,26.496,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:56.717,26.406,26.475,26.61,26.493,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:57.718,26.403,26.472,26.606,26.49,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:58.718,26.4,26.468,26.603,26.487,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:59.718,26.397,26.465,26.601,26.484,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:00.719,26.394,26.462,26.597,26.481,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:01.719,26.392,26.459,26.593,26.477,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:02.720,26.388,26.455,26.59,26.473,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:03.721,26.384,26.451,26.588,26.47,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:04.722,26.381,26.448,26.585,26.467,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:05.722,26.377,26.445,26.583,26.463,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:06.723,26.374,26.441,26.58,26.459,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:07.723,26.37,26.437,26.579,26.456,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:08.723,26.366,26.433,26.576,26.454,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:09.724,26.362,26.428,26.573,26.449,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:10.724,26.357,26.424,26.569,26.445,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:11.725,26.354,26.422,26.562,26.442,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:12.725,26.35,26.417,26.557,26.438,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:13.725,26.344,26.413,26.555,26.433,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:14.726,26.34,26.408,26.551,26.429,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:15.726,26.336,26.404,26.547,26.425,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:16.726,26.331,26.4,26.542,26.421,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:17.727,26.327,26.396,26.536,26.417,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:18.727,26.324,26.393,26.531,26.414,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:19.728,26.32,26.389,26.526,26.41,uploaded:Log_192.168.77.10_2025_08_15.txt
